Id,Start,Name,Impact,Currency
2ae96790-e6e3-4e60-9a35-68309e3ef70b,01/01/2017 00:00:00,New Year's Day,NONE,EUR
6aca2dd1-d990-4962-9d4c-c0b171721b10,01/01/2017 00:00:00,New Year's Day,NONE,JPY
921961bf-1e44-44fd-8c98-ef55b4b878d0,01/01/2017 00:00:00,New Year's Day,NONE,USD
17189727-abf8-4def-911e-79eba71e79a4,01/01/2017 12:00:00,BoE Monetary Policy Statement,HIGH,GBP
c3ab9b52-d9be-426e-815c-b36309cd4021,01/01/2017 23:01:00,BRC Shop Price Index (YoY),LOW,GBP
17810267-2992-4d0e-b615-09e5c72bfc39,01/02/2017 00:00:00,New Year's Day (Observed),NONE,GBP
a42ea17b-1756-4837-a64b-e97eff2f846c,01/02/2017 00:00:00,New Year's Day (Observed),NONE,USD
a75ed6d3-3791-426a-9f4c-b9662cdea036,01/02/2017 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
6d308f01-0a02-4747-a0a3-1a29ccd38e2a,01/02/2017 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
242b0921-4f8e-4578-8cc0-61878630cf95,01/03/2017 08:55:00,Unemployment Change,MEDIUM,EUR
5e58c9b3-a083-4e9a-95b5-682698ed7015,01/03/2017 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
b028fd59-f324-407e-a72d-5a65d84818df,01/03/2017 09:30:00,S&P Global Manufacturing PMI,MEDIUM,GBP
75ed70e2-8ac5-4bdd-935e-a48cae7ff41e,01/03/2017 13:00:00,Consumer Price Index (MoM),MEDIUM,EUR
43d28695-b146-43b0-beef-7137672aab49,01/03/2017 13:00:00,Consumer Price Index (YoY),MEDIUM,EUR
61b7603c-f606-42d4-9bfd-4015f6c66243,01/03/2017 13:00:00,Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
fc51ea02-769c-4130-a133-d0c8e54de10f,01/03/2017 13:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
3dfd4aa2-d937-4751-be42-efe7e2833feb,01/03/2017 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
ebcbd94b-1ff0-49c3-ba40-db5a0802b305,01/03/2017 15:00:00,Construction Spending (MoM),MEDIUM,USD
d1f248e0-cb0a-400b-9e82-e72dd62294ca,01/03/2017 15:00:00,ISM Manufacturing PMI,HIGH,USD
8823790e-8ef9-4b04-9e89-5a9eb3f488a8,01/03/2017 15:00:00,ISM Manufacturing Prices Paid,HIGH,USD
60253963-e755-47a2-a7d9-ca364fc9195d,01/03/2017 16:30:00,3-Month Bill Auction,LOW,USD
0f70d5ca-22c8-4348-9086-a6fba0d1aa5e,01/03/2017 16:30:00,6-Month Bill Auction,LOW,USD
5a63c920-62ae-4e26-9c0a-6c78a6d7fde3,01/03/2017 18:00:00,4-Week Bill Auction,LOW,USD
3cf9e78c-50f0-4657-9016-57337cf30308,01/03/2017 18:00:00,52-Week Bill Auction,LOW,USD
0d071370-158e-4a47-88c5-dd12de55b3df,01/04/2017 00:01:00,BRC Shop Price Index (YoY),LOW,GBP
1b71fb13-8b2f-4a30-883f-43bbc5b00b3d,01/04/2017 00:30:00,Jibun Bank Manufacturing PMI,LOW,JPY
c34262e8-0db6-4d46-915f-ccea3a02077c,01/04/2017 08:55:00,HCOB Composite PMI,LOW,EUR
9f6abbeb-9b4c-46bb-b6d5-0b084b1cfab2,01/04/2017 08:55:00,HCOB Services PMI,LOW,EUR
fddd9abd-94ae-4bfc-8e36-dc839d5ea2be,01/04/2017 09:00:00,HCOB Composite PMI,MEDIUM,EUR
1300b648-5b3d-435f-a6f1-071527a453ee,01/04/2017 09:00:00,HCOB Services PMI,MEDIUM,EUR
60f2f880-e0d0-4945-8c1e-3f3a8f3bc4dd,01/04/2017 09:30:00,Consumer Credit,MEDIUM,GBP
37dc4153-5e45-40ba-a459-72f0f085771e,01/04/2017 09:30:00,M4 Money Supply (MoM),LOW,GBP
66a4b742-6cf9-43ff-b23a-c8d0dcc2cc0a,01/04/2017 09:30:00,M4 Money Supply (YoY),LOW,GBP
cc6d1e22-0087-47ab-9918-03c341c7a25f,01/04/2017 09:30:00,Mortgage Approvals,MEDIUM,GBP
59d531b7-a9e3-46e1-b244-9865cecfa29d,01/04/2017 09:30:00,Net Lending to Individuals (MoM),LOW,GBP
f935ca71-3fda-40c6-8304-608d69cb05e5,01/04/2017 09:30:00,S&P Global Construction PMI,MEDIUM,GBP
994b663d-8c40-4140-9897-f8532f0ec70b,01/04/2017 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
99e70d62-059f-4b6c-837c-547913151dcb,01/04/2017 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
bccd4126-9d62-4b2a-be58-cec0815bf02e,01/04/2017 12:00:00,MBA Mortgage Applications,LOW,USD
0de2e021-1e73-42bd-bbe3-d07d10b7cd45,01/04/2017 13:55:00,Redbook Index (MoM),LOW,USD
09f91060-7d92-42ab-b770-11313b7d9703,01/04/2017 13:55:00,Redbook Index (YoY),LOW,USD
c177423d-1022-49ce-9ce5-22cdfa9dafa4,01/04/2017 14:45:00,ISM-NY Business Conditions Index,LOW,USD
b34d64c2-79fb-4e1b-bfaa-aa5f03b65560,01/04/2017 19:00:00,FOMC Minutes,HIGH,USD
52f27181-cd12-4f7a-864e-13a9585bff1f,01/04/2017 20:00:00,Total Vehicle Sales,LOW,USD
5a1029fd-925d-4a99-8d1d-350fc454e32a,01/04/2017 21:30:00,API Weekly Crude Oil Stock,LOW,USD
32a270f3-69f9-4f42-8819-ad4003aed09e,01/04/2017 23:50:00,Monetary Base (YoY),LOW,JPY
48efd7e1-b81a-4c10-aef8-0453e068fc3f,01/05/2017 00:30:00,Jibun Bank Services PMI,LOW,JPY
6f7706a3-b485-45fd-abce-f72596e08bad,01/05/2017 05:00:00,Vehicle Sales (YoY),LOW,JPY
80e0cec2-744f-4360-9f68-a168a94a90db,01/05/2017 09:30:00,S&P Global Services PMI,LOW,GBP
45821a87-7fb0-4f59-9264-89b279b02c36,01/05/2017 10:00:00,Producer Price Index (MoM),LOW,EUR
2f2891f3-3426-421c-bfa5-c75eaf94ae95,01/05/2017 10:00:00,Producer Price Index (YoY),MEDIUM,EUR
3338cdf9-f7d8-40d0-9b72-f4a00173bbb6,01/05/2017 12:30:00,Challenger Job Cuts,LOW,USD
70b822e9-3a73-4adf-951d-874d721e237e,01/05/2017 13:15:00,ADP Employment Change,MEDIUM,USD
3077bd4b-6f82-4940-ad63-1af48c738b8e,01/05/2017 13:30:00,BoE's Haldane speech,LOW,GBP
82ef4274-2bcd-45cc-a66c-5287226a13a0,01/05/2017 13:30:00,Continuing Jobless Claims,LOW,USD
bdd1349b-cb93-4196-ab96-642847d61c99,01/05/2017 13:30:00,Initial Jobless Claims,MEDIUM,USD
272f1d09-fd9e-4946-9ae9-45ae1fa7bb17,01/05/2017 14:45:00,S&P Global Composite PMI,MEDIUM,USD
06779716-f554-4a78-a036-c61f83f4d809,01/05/2017 14:45:00,S&P Global Services PMI,MEDIUM,USD
947658c4-e73d-4708-b07d-8f7f15f794f6,01/05/2017 15:00:00,ISM Services PMI,MEDIUM,USD
d0e1149a-a2f6-47d9-b5cd-98164446fc7c,01/05/2017 15:30:00,EIA Natural Gas Storage Change,LOW,USD
3a88cedb-f398-4496-846d-ea0eda4adde1,01/05/2017 16:00:00,EIA Crude Oil Stocks Change,LOW,USD
58f57064-7175-4070-bcb1-2641b3d49f85,01/05/2017 23:50:00,Foreign Bond Investment,MEDIUM,JPY
785d062c-bdc9-4d91-8dee-a790a7a1571f,01/05/2017 23:50:00,Foreign Investment in Japan Stocks,MEDIUM,JPY
e30a9bbb-1a24-473f-aaf4-c0a354bff5cc,01/06/2017 00:00:00,Labor Cash Earnings (YoY),LOW,JPY
3344c1ad-ee3c-4cc3-be36-bfd71b392daa,01/06/2017 07:00:00,Factory Orders n.s.a. (YoY),LOW,EUR
