period,train_start,train_end,test_start,test_end,train_samples,test_samples,train_sharpe,test_sharpe,train_reward,test_reward,decay,decay_percent,high_decay,best_lr,best_clip_range,best_ent_coef,best_decay_rate
1,2020-01-01,2020-06-28,2020-06-29,2020-08-27,180,60,-0.13815191935884286,2.321167507317546,-0.014031189950303327,0.06414018326725118,-17.801687010771033,-1780.1687010771034,True,0.0003,0.2,0.01,0.995
2,2020-01-01,2020-08-27,2020-08-28,2020-10-26,240,60,0.45796913727328487,-0.4848837370565751,0.005437672477925408,-0.018169103622179113,-2.058764966518397,-205.8764966518397,True,0.0003,0.2,0.01,0.995
3,2020-01-01,2020-10-26,2020-10-27,2020-12-25,300,60,0.278795172815524,0.8630426340448022,0.0009388727767921805,0.03364119879190665,2.0956078963676004,209.56078963676003,True,0.0003,0.2,0.01,0.995
4,2020-01-01,2020-12-25,2020-12-26,2021-02-23,360,60,0.3936629980750897,1.300614410707095,0.006330457997887179,0.03239612781159,2.303871873137376,230.38718731373763,True,0.0003,0.2,0.01,0.995
5,2020-01-01,2021-02-23,2021-02-24,2021-04-24,420,60,0.5192131890442067,0.9987954044351816,0.009964017612147118,0.002009357392066086,0.9236693170381415,92.36693170381415,True,0.0003,0.2,0.01,0.995
6,2020-01-01,2021-04-24,2021-04-25,2021-06-23,480,60,0.564183915381946,0.8482697877767791,0.00891517755398692,0.01364955124970565,0.5035332648029246,50.35332648029246,True,0.0003,0.2,0.01,0.995
7,2020-01-01,2021-06-23,2021-06-24,2021-08-22,540,60,0.5981302219947661,-1.0248925235255806,0.009328452886749283,-0.03032812109601906,-2.7134894247913857,-271.34894247913854,True,0.0003,0.2,0.01,0.995
8,2020-01-01,2021-08-22,2021-08-23,2021-10-21,600,60,0.4239015380568587,0.3671527204369379,0.005371320368236653,0.023703217985334805,-0.133872323294061,-13.387232329406102,False,0.0048853922910237334,0.2624552969582644,0.013593911384520993,0.9963615075156126
9,2020-01-01,2021-10-21,2021-10-22,2021-12-20,660,60,0.39849480739085946,-1.0729393560449447,0.007033843225222161,-0.04110528175434956,-3.6924708770964987,-369.24708770964986,True,0.0003,0.2,0.01,0.995
10,2020-01-01,2021-12-20,2021-12-21,2022-02-18,720,60,0.26663065401825536,1.5999396745412202,0.003022030018148841,0.025148332180616583,5.00056538835287,500.056538835287,True,0.0003,0.2,0.01,0.995
11,2020-01-01,2022-02-18,2022-02-19,2022-04-19,780,60,0.36856670858810425,-0.04495817933648391,0.0046796286834388,0.01639368877754909,-1.1219780742830248,-112.19780742830248,True,0.0003,0.2,0.01,0.995
12,2020-01-01,2022-04-19,2022-04-20,2022-06-18,840,60,0.34399988906644974,-0.38821373873943105,0.005491166564523315,-0.02524963516975756,-2.128522486651019,-212.85224866510188,True,0.0003,0.2,0.01,0.995
13,2020-01-01,2022-06-18,2022-06-19,2022-08-17,900,60,0.2919507409506801,-0.5715936849480008,0.0034277732011249126,-0.02306379748079904,-2.9578327674523477,-295.7832767452348,True,0.0003,0.2,0.01,0.995
14,2020-01-01,2022-08-17,2022-08-18,2022-10-16,960,60,0.23303592020400565,-0.47897766276269305,0.0017585877580079128,-0.007455031494736222,-3.055368146572596,-305.5368146572596,True,0.0003,0.2,0.01,0.995
15,2020-01-01,2022-10-16,2022-10-17,2022-12-15,1020,60,0.19497767465286223,1.4773853107616064,0.0012641158140641103,0.054792060497285744,6.577168700074139,657.7168700074138,True,0.0003,0.2,0.01,0.995
16,2020-01-01,2022-12-15,2022-12-16,2023-02-13,1080,60,0.26636830347954127,0.2928295978480064,0.004251956774761857,-0.017809519941617065,0.09934062980533154,9.934062980533154,False,0.0021627686273427444,0.2570272601377671,0.043537182418246424,0.9927560447778311
17,2020-01-01,2023-02-13,2023-02-14,2023-04-14,1140,60,0.27137360549610395,0.7696985127631115,0.0031019715944804595,0.03218945848075137,1.8362989652477337,183.6298965247734,True,0.0003,0.2,0.01,0.995
18,2020-01-01,2023-04-14,2023-04-15,2023-06-13,1200,60,0.30025982404431695,0.5418666380013543,0.004568214805608466,0.024619456940303108,0.8046564673431303,80.46564673431304,True,0.0003,0.2,0.01,0.995
